scientificName,animal,Movement,redlistCategory,populationTrend,Pac_Americas,Cen_Americas,Atl_Americas,Eas_Atlantic,Black_Sea,Eas_Africa,Cen_Asia,Eas_Asia,migratory,EOO,American,AfroPal,Asian,Artificial,Coastal,Forest,Grassland,Savanna,Shrubland,Wetlands,Hemisphere
Ficedula superciliaris,Ficedula_superciliaris,Full Migrant,Least Concern,Stable,0,0,0,0,0,1,1,1,1,2190000,0,0,1,1,0,1,0,1,0,0,5
Ficedula timorensis,Ficedula_timorensis,Not a Migrant,Near Threatened,Decreasing,0,0,0,0,0,0,0,1,0,37500,0,0,1,0,0,1,0,0,0,0,3
Ficedula tricolor,Ficedula_tricolor,Altitudinal Migrant,Least Concern,Stable,0,0,0,0,0,1,1,1,0,4390000,0,0,1,1,0,1,1,0,1,1,5
Ficedula westermanni,Ficedula_westermanni,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,1,1,0,14700000,0,0,1,0,0,1,0,0,0,0,5
Ficedula zanthopygia,Ficedula_zanthopygia,Full Migrant,Least Concern,Decreasing,0,0,0,0,0,1,0,1,1,3880000,0,0,1,1,0,1,0,0,1,0,2
Florisuga fusca,Florisuga_fusca,Full Migrant,Least Concern,Decreasing,0,1,1,0,0,0,0,0,1,1790000,1,0,0,1,0,1,0,0,0,0,3
Florisuga mellivora,Florisuga_mellivora,Not a Migrant,Least Concern,Decreasing,1,1,1,0,0,0,0,0,0,11800000,1,0,0,1,0,1,0,0,0,0,3
Fluvicola albiventer,Fluvicola_albiventer,Full Migrant,Least Concern,Stable,1,1,1,0,0,0,0,0,1,8140000,1,0,0,0,0,0,0,0,1,1,3
Fluvicola nengeta,Fluvicola_nengeta,Not a Migrant,Least Concern,Increasing,1,1,1,0,0,0,0,0,0,10000000,1,0,0,1,0,0,0,0,1,1,3
Fluvicola pica,Fluvicola_pica,Not a Migrant,Least Concern,Decreasing,1,1,1,0,0,0,0,0,0,2750000,1,0,0,1,0,0,0,0,1,1,3
