animal,decline,migratory,American,AfroPal,Asian,Artificial,Coastal,Forest,Grassland,Savanna,Shrubland,Wetlands,Hemisphere,EOO
Actophilornis_africanus,0,0,0,1,0,1,1,0,1,0,0,1,2,24400000
Actophilornis_albinucha,1,0,0,1,0,1,0,0,0,0,0,1,2,415000
Aechmophorus_clarkii,1,1,1,0,0,0,0,0,0,0,0,1,3,6220000
Aechmophorus_occidentalis,0,1,1,0,0,1,1,0,0,0,0,1,3,8380000
Aegithalos_concinnus,0,0,0,0,1,1,0,1,0,0,1,0,2,109000
Aegithalos_iouschistos,0,0,0,0,1,0,0,1,0,0,1,0,3,728000
Aegithalos_caudatus,0,0,0,1,1,1,0,1,0,0,1,1,1,44600000
Aegithalos_concinnus,0,0,0,0,1,1,0,1,0,0,1,0,3,109000
Aegithalos_fuliginosus,0,0,0,0,1,0,0,1,0,0,1,0,1,531000
Aegithalos_caudatus,0,0,0,0,1,1,0,1,0,0,1,1,3,44600000
Aegithalos_iouschistos,0,0,0,0,1,0,0,1,0,0,1,0,3,728000
Aegithalos_concinnus,0,0,0,0,1,1,0,1,0,0,1,0,3,109000
Aegithalos_leucogenys,0,0,0,0,1,1,0,1,0,0,1,0,3,338000
Aegithalos_niveogularis,0,0,0,0,1,0,0,1,0,0,1,0,3,323000
Aegithina_viridissima,1,0,0,0,1,0,0,1,0,0,0,0,2,3780000
Aegolius_acadicus,1,1,1,0,1,1,0,1,0,0,0,0,3,18700000
Aegolius_funereus,0,1,1,1,1,0,0,1,0,0,0,0,1,73800000
Aegolius_harrisii,0,0,1,0,0,1,0,1,0,1,1,0,2,12700000
Aegolius_ridgwayi,0,0,1,0,0,0,0,1,0,0,0,0,2,187000
Aegotheles_bennettii,1,0,0,0,1,0,0,1,0,0,0,0,2,33800
Aegotheles_albertisi,0,0,0,0,1,1,0,1,0,1,0,0,2,631000
Aegotheles_archboldi,0,0,0,0,1,0,0,1,0,0,0,0,2,83900
Aegotheles_bennettii,0,0,0,0,1,0,0,1,0,0,0,0,2,33800
