"","scientificName","orderName","familyName","genusName","Movement","redlistCategory","populationTrend","decline","threatend","habitatNotes","breedArtif","breedCoast","breedDesert","breedForest","breedGrass","breedInter","breedNerit","breedRock","breedSavan","breedShrub","breedUbiqu","breedUnkno","breedWetla","nonbArtif","nonbCoast","nonbDesert","nonbForest","nonbGrass","nonbInter","nonbNerit","nonbRock","nonbSavan","nonbShrub","nonbUbiqu","nonbUnkno","nonbWetla","HabNum","Pac_Americas","Cen_Americas","Atl_Americas","Eas_Atlantic","Black_Sea","Eas_Africa","Cen_Asia","Eas_Asia","Breed_Hemisphere","Nonbreed_Hemisphere","migratory"
"47","Acrocephalus australis","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Full Migrant","Least Concern","Stable",0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,2,2,1
"48","Acrocephalus bistrigiceps","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Full Migrant","Least Concern","Stable",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,1,1,3,2,1
"49","Acrocephalus brevipennis","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Not a Migrant","Vulnerable","Unknown",1,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"50","Acrocephalus caffer","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Not a Migrant","Endangered","Decreasing",1,1,NA,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"51","Acrocephalus concinens","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Full Migrant","Least Concern","Stable",0,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,1,3,2,1
"52","Acrocephalus dumetorum","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Full Migrant","Least Concern","Increasing",0,0,NA,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,0,0,0,1,1,1,1,1,1,2,1
"53","Acrocephalus familiaris","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Not a Migrant","Critically Endangered","Stable",0,1,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"54","Acrocephalus gracilirostris","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Not a Migrant","Least Concern","Stable",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,1,1,0,0,2,2,0
"55","Acrocephalus griseldis","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Full Migrant","Endangered","Stable",0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,1,1,1,0,3,2,1
"56","Acrocephalus hiwae","PASSERIFORMES","ACROCEPHALIDAE","Acrocephalus","Not a Migrant","Critically Endangered","Decreasing",1,1,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,2,2,0
